crop_id,name,growth_days,optimal_temp,water_per_tray,led_hours_per_day,price_sgd_per_kg,spoilage_rate
kai_lan,Kai Lan,35,22.0,2.5,16,4.5,0.06
baby_spinach,Baby Spinach,25,20.0,2.0,14,6.0,0.08
lettuce_mambo,Lettuce (Mambo),30,21.0,2.2,14,3.8,0.07
chye_sim,Japanese Chye Sim,28,22.0,2.3,15,4.0,0.05
arugula,Arugula,21,19.0,1.8,12,8.0,0.04
pak_choi,Pak Choi,25,21.0,2.1,14,3.5,0.07
kale,Kale (Curly),35,20.0,2.0,14,9.5,0.05
basil_thai,Thai Basil,28,24.0,1.8,14,15.0,0.04
coriander,Coriander,28,21.0,1.9,13,12.0,0.06
mint,Mint,30,22.0,2.0,13,14.0,0.05
