customer_id,purchase_frequency,avg_order_sgd,organic_preference,bulk_buyer,live_commerce_active,top_crop
C0001,2,24.73,0.222,False,False,arugula
C0002,10,40.16,0.806,False,False,spinach
C0003,3,26.19,0.126,False,False,chye_sim
C0004,3,12.04,0.083,False,False,spinach
C0005,1,196.77,0.161,True,False,chye_sim
C0006,2,24.09,0.266,False,False,spinach
C0007,4,113.36,0.171,True,False,kai_lan
C0008,8,39.44,0.401,False,True,kai_lan
C0009,2,23.69,0.139,False,False,chye_sim
C0010,8,31.33,0.961,False,False,arugula
C0011,4,97.14,0.1,True,False,chye_sim
C0012,6,30.86,0.375,False,True,kai_lan
C0013,8,24.8,0.214,False,True,spinach
C0014,7,45.82,0.499,False,True,arugula
C0015,3,12.23,0.225,False,False,spinach
C0016,2,20.15,0.079,False,False,lettuce
C0017,2,20.79,0.183,False,False,lettuce
C0018,12,51.36,0.898,False,False,spinach
C0019,14,49.48,0.989,False,False,kai_lan
C0020,11,40.83,0.895,False,False,arugula
C0021,3,17.98,0.219,False,False,spinach
C0022,3,10.42,0.036,False,False,lettuce
C0023,7,50.79,0.926,False,False,spinach
C0024,4,14.86,0.162,False,False,spinach
C0025,14,50.92,0.886,False,False,kai_lan
C0026,1,14.97,0.121,False,False,spinach
C0027,3,33.29,0.339,False,True,spinach
C0028,10,29.99,0.967,False,False,spinach
C0029,6,27.96,0.249,False,True,spinach
C0030,8,34.6,0.499,False,True,kai_lan
C0031,7,26.5,0.908,False,False,arugula
C0032,4,22.06,0.488,False,True,arugula
C0033,7,22.46,0.274,False,True,spinach
C0034,2,111.87,0.041,True,False,chye_sim
C0035,7,49.95,0.481,False,True,kai_lan
C0036,8,51.38,0.826,False,False,spinach
C0037,1,23.36,0.091,False,False,arugula
C0038,9,33.17,0.853,False,False,kai_lan
C0039,11,52.16,0.971,False,False,spinach
C0040,4,39.11,0.213,False,True,arugula
C0041,2,20.91,0.168,False,False,lettuce
C0042,7,51.97,0.808,False,False,spinach
C0043,9,52.77,0.912,False,False,spinach
C0044,3,25.65,0.264,False,False,lettuce
C0045,1,17.65,0.08,False,False,lettuce
C0046,10,31.69,0.87,False,False,spinach
C0047,4,161.54,0.193,True,False,kai_lan
C0048,11,26.15,0.836,False,False,spinach
C0049,4,27.99,0.182,False,False,kai_lan
C0050,8,48.21,0.478,False,True,kai_lan
C0051,8,45.44,0.476,False,True,kai_lan
C0052,2,103.02,0.065,True,False,kai_lan
C0053,1,16.08,0.185,False,False,chye_sim
C0054,2,20.22,0.139,False,False,arugula
C0055,3,11.87,0.025,False,False,spinach
C0056,2,198.07,0.04,True,False,lettuce
C0057,6,34.83,0.373,False,True,spinach
C0058,13,31.57,0.972,False,False,kai_lan
C0059,6,24.0,0.275,False,True,spinach
C0060,4,26.61,0.285,False,False,arugula
C0061,3,25.32,0.135,False,False,lettuce
C0062,3,118.37,0.143,True,False,kai_lan
C0063,4,128.91,0.031,True,False,chye_sim
C0064,7,50.7,0.878,False,False,spinach
C0065,13,41.15,0.86,False,False,arugula
C0066,1,17.78,0.066,False,False,chye_sim
C0067,1,28.14,0.276,False,False,lettuce
C0068,7,32.8,0.827,False,False,kai_lan
C0069,4,110.27,0.056,True,False,kai_lan
C0070,8,21.21,0.267,False,True,kai_lan
C0071,1,21.28,0.046,False,False,chye_sim
C0072,1,25.56,0.182,False,False,spinach
C0073,4,17.93,0.173,False,False,kai_lan
C0074,3,27.01,0.073,False,False,kai_lan
C0075,3,11.38,0.012,False,False,kai_lan
C0076,8,46.75,0.232,False,True,kai_lan
C0077,14,38.95,0.993,False,False,kai_lan
C0078,4,109.26,0.166,True,False,chye_sim
C0079,6,26.36,0.348,False,True,kai_lan
C0080,2,11.71,0.264,False,False,lettuce
C0081,4,25.86,0.143,False,False,spinach
C0082,3,18.51,0.199,False,False,spinach
C0083,2,16.31,0.092,False,False,arugula
C0084,3,29.61,0.065,False,False,spinach
C0085,3,85.46,0.003,True,False,kai_lan
C0086,1,21.48,0.261,False,False,spinach
C0087,8,49.66,0.85,False,False,spinach
C0088,3,11.7,0.046,False,False,lettuce
C0089,7,31.41,0.437,False,True,kai_lan
C0090,1,28.95,0.092,False,False,kai_lan
C0091,2,10.05,0.072,False,False,lettuce
C0092,4,88.54,0.058,True,False,kai_lan
C0093,4,12.3,0.198,False,False,kai_lan
C0094,3,151.41,0.014,True,False,lettuce
C0095,5,35.01,0.407,False,True,kai_lan
C0096,7,27.74,0.947,False,False,arugula
C0097,3,21.52,0.3,False,False,kai_lan
C0098,7,33.08,0.475,False,True,arugula
C0099,4,29.89,0.3,False,True,kai_lan
C0100,3,15.05,0.165,False,False,chye_sim
C0101,4,11.08,0.197,False,False,lettuce
C0102,7,23.93,0.428,False,True,arugula
C0103,4,41.29,0.492,False,True,kai_lan
C0104,6,48.41,0.498,False,True,kai_lan
C0105,4,29.6,0.153,False,False,lettuce
C0106,3,28.29,0.352,False,True,spinach
C0107,3,26.75,0.08,False,False,lettuce
C0108,4,19.11,0.162,False,False,kai_lan
C0109,4,10.87,0.115,False,False,chye_sim
C0110,2,19.91,0.297,False,False,lettuce
C0111,4,10.31,0.262,False,False,arugula
C0112,3,22.47,0.141,False,False,kai_lan
C0113,3,155.22,0.172,True,False,chye_sim
C0114,5,49.92,0.221,False,True,spinach
C0115,9,45.82,0.941,False,False,spinach
C0116,2,20.62,0.108,False,False,chye_sim
C0117,10,39.93,0.922,False,False,spinach
C0118,4,28.02,0.077,False,False,kai_lan
C0119,6,40.71,0.496,False,True,kai_lan
C0120,3,21.5,0.032,False,False,spinach
C0121,1,28.21,0.119,False,False,chye_sim
C0122,3,14.38,0.24,False,False,spinach
C0123,1,28.07,0.198,False,False,spinach
C0124,5,29.8,0.309,False,True,kai_lan
C0125,2,15.14,0.159,False,False,lettuce
C0126,4,29.26,0.261,False,False,arugula
C0127,3,11.81,0.202,False,False,spinach
C0128,13,49.67,0.935,False,False,spinach
C0129,3,189.83,0.124,True,False,kai_lan
C0130,2,10.91,0.091,False,False,arugula
C0131,14,36.13,0.977,False,False,kai_lan
C0132,6,39.65,0.423,False,True,spinach
C0133,4,18.89,0.01,False,False,spinach
C0134,3,11.21,0.163,False,False,arugula
C0135,1,11.01,0.028,False,False,arugula
C0136,2,21.73,0.021,False,False,spinach
C0137,2,29.75,0.27,False,False,chye_sim
C0138,10,42.67,0.826,False,False,spinach
C0139,14,38.45,0.905,False,False,kai_lan
C0140,8,35.64,0.484,False,True,arugula
C0141,8,39.71,0.969,False,False,spinach
C0142,12,36.43,0.83,False,False,spinach
C0143,8,39.53,0.23,False,True,arugula
C0144,14,36.96,0.978,False,False,spinach
C0145,4,88.06,0.075,True,False,kai_lan
C0146,7,42.59,0.875,False,False,spinach
C0147,13,51.04,0.975,False,False,arugula
C0148,2,23.13,0.031,False,False,kai_lan
C0149,2,26.14,0.034,False,False,arugula
C0150,3,10.58,0.202,False,False,chye_sim
C0151,4,11.39,0.002,False,False,arugula
C0152,12,29.72,0.843,False,False,spinach
C0153,2,25.09,0.025,False,False,kai_lan
C0154,5,26.47,0.346,False,True,kai_lan
C0155,11,26.36,0.936,False,False,kai_lan
C0156,11,33.68,0.989,False,False,kai_lan
C0157,7,36.76,0.314,False,True,spinach
C0158,3,45.86,0.213,False,True,spinach
C0159,3,13.44,0.087,False,False,spinach
C0160,2,18.71,0.026,False,False,kai_lan
C0161,2,11.53,0.102,False,False,lettuce
C0162,9,32.09,0.87,False,False,spinach
C0163,4,19.28,0.228,False,False,lettuce
C0164,3,27.28,0.193,False,False,kai_lan
C0165,7,35.56,0.926,False,False,kai_lan
C0166,8,43.45,0.966,False,False,kai_lan
C0167,2,16.43,0.222,False,False,kai_lan
C0168,8,40.14,0.962,False,False,spinach
C0169,5,31.19,0.357,False,True,spinach
C0170,3,87.91,0.01,True,False,chye_sim
C0171,2,120.0,0.17,True,False,kai_lan
C0172,1,117.15,0.14,True,False,lettuce
C0173,1,22.92,0.211,False,False,spinach
C0174,4,103.04,0.19,True,False,kai_lan
C0175,1,159.43,0.02,True,False,chye_sim
C0176,2,24.42,0.049,False,False,spinach
C0177,4,14.68,0.183,False,False,arugula
C0178,4,19.23,0.11,False,False,spinach
C0179,4,46.19,0.445,False,True,spinach
C0180,3,28.55,0.413,False,True,kai_lan
C0181,2,26.33,0.249,False,False,arugula
C0182,3,31.25,0.351,False,True,arugula
C0183,1,15.74,0.101,False,False,chye_sim
C0184,8,25.57,0.894,False,False,spinach
C0185,3,14.75,0.158,False,False,spinach
C0186,4,21.93,0.137,False,False,lettuce
C0187,3,108.87,0.058,True,False,chye_sim
C0188,7,36.71,0.814,False,False,kai_lan
C0189,1,16.9,0.224,False,False,lettuce
C0190,3,20.92,0.227,False,False,kai_lan
C0191,2,26.23,0.294,False,False,chye_sim
C0192,3,29.47,0.26,False,True,spinach
C0193,2,15.72,0.076,False,False,kai_lan
C0194,4,24.87,0.037,False,False,spinach
C0195,3,26.02,0.208,False,False,kai_lan
C0196,1,16.56,0.164,False,False,spinach
C0197,1,24.54,0.207,False,False,lettuce
C0198,3,40.14,0.494,False,True,spinach
C0199,4,10.7,0.286,False,False,chye_sim
C0200,2,161.49,0.19,True,False,kai_lan
C0201,3,22.99,0.041,False,False,kai_lan
C0202,1,15.24,0.155,False,False,spinach
C0203,2,12.45,0.208,False,False,spinach
C0204,3,23.36,0.299,False,False,lettuce
C0205,2,175.24,0.17,True,False,kai_lan
C0206,12,41.62,0.847,False,False,arugula
C0207,4,29.99,0.265,False,False,lettuce
C0208,1,19.0,0.022,False,False,spinach
C0209,2,18.65,0.165,False,False,kai_lan
C0210,10,35.38,0.861,False,False,arugula
C0211,3,12.5,0.059,False,False,lettuce
C0212,4,39.76,0.378,False,True,spinach
C0213,1,10.91,0.012,False,False,lettuce
C0214,1,19.96,0.172,False,False,spinach
C0215,4,15.95,0.073,False,False,kai_lan
C0216,4,29.38,0.339,False,True,arugula
C0217,1,16.38,0.039,False,False,spinach
C0218,4,109.79,0.01,True,False,kai_lan
C0219,2,139.79,0.144,True,False,chye_sim
C0220,4,196.0,0.018,True,False,kai_lan
C0221,14,33.57,0.92,False,False,spinach
C0222,12,26.36,0.946,False,False,kai_lan
C0223,3,179.04,0.015,True,False,chye_sim
C0224,12,41.73,0.879,False,False,spinach
C0225,2,24.27,0.15,False,False,lettuce
C0226,12,29.88,0.828,False,False,kai_lan
C0227,4,165.05,0.101,True,False,lettuce
C0228,3,175.61,0.022,True,False,chye_sim
C0229,10,46.64,0.853,False,False,spinach
C0230,2,10.63,0.232,False,False,kai_lan
C0231,10,37.31,0.884,False,False,arugula
C0232,2,21.22,0.218,False,False,lettuce
C0233,7,30.63,0.338,False,True,arugula
C0234,2,15.58,0.079,False,False,arugula
C0235,4,16.34,0.087,False,False,arugula
C0236,4,27.92,0.086,False,False,spinach
C0237,1,16.93,0.087,False,False,spinach
C0238,7,40.89,0.448,False,True,spinach
C0239,2,22.76,0.015,False,False,spinach
C0240,2,18.14,0.204,False,False,arugula
C0241,5,39.38,0.427,False,True,kai_lan
C0242,1,28.26,0.222,False,False,arugula
C0243,14,30.59,0.999,False,False,arugula
C0244,1,191.41,0.002,True,False,chye_sim
C0245,4,15.46,0.148,False,False,spinach
C0246,3,25.82,0.077,False,False,chye_sim
C0247,12,27.6,0.979,False,False,spinach
C0248,13,32.07,0.987,False,False,arugula
C0249,3,163.13,0.115,True,False,kai_lan
C0250,3,162.83,0.137,True,False,lettuce
C0251,2,134.6,0.044,True,False,kai_lan
C0252,2,25.24,0.227,False,False,lettuce
C0253,1,28.34,0.134,False,False,chye_sim
C0254,3,27.09,0.172,False,False,chye_sim
C0255,1,19.07,0.027,False,False,spinach
C0256,7,36.88,0.935,False,False,kai_lan
C0257,1,28.69,0.127,False,False,arugula
C0258,13,36.23,0.836,False,False,spinach
C0259,2,23.07,0.113,False,False,kai_lan
C0260,3,42.69,0.238,False,True,spinach
C0261,2,19.21,0.16,False,False,kai_lan
C0262,4,22.3,0.034,False,False,arugula
C0263,1,109.37,0.02,True,False,chye_sim
C0264,7,49.8,0.459,False,True,arugula
C0265,3,14.74,0.179,False,False,arugula
C0266,7,46.39,0.29,False,True,spinach
C0267,8,40.14,0.214,False,True,kai_lan
C0268,7,34.21,0.29,False,True,kai_lan
C0269,4,29.36,0.139,False,False,kai_lan
C0270,4,181.66,0.066,True,False,chye_sim
C0271,7,51.21,0.875,False,False,arugula
C0272,3,16.06,0.065,False,False,kai_lan
C0273,14,52.43,0.823,False,False,kai_lan
C0274,6,33.99,0.366,False,True,kai_lan
C0275,4,171.4,0.093,True,False,kai_lan
C0276,2,81.95,0.113,True,False,chye_sim
C0277,4,21.4,0.046,False,False,lettuce
C0278,4,19.22,0.077,False,False,spinach
C0279,7,40.72,0.898,False,False,spinach
C0280,2,11.36,0.229,False,False,kai_lan
C0281,7,47.38,0.385,False,True,kai_lan
C0282,5,36.07,0.204,False,True,spinach
C0283,1,28.36,0.242,False,False,spinach
C0284,4,11.58,0.245,False,False,spinach
C0285,1,158.45,0.045,True,False,lettuce
C0286,7,46.09,0.875,False,False,arugula
C0287,1,27.9,0.17,False,False,spinach
C0288,1,28.48,0.266,False,False,spinach
C0289,5,20.47,0.21,False,True,kai_lan
C0290,2,21.33,0.279,False,False,chye_sim
C0291,8,41.72,0.427,False,True,arugula
C0292,13,54.07,0.846,False,False,kai_lan
C0293,4,18.64,0.147,False,False,lettuce
C0294,8,27.46,0.859,False,False,kai_lan
C0295,1,10.1,0.117,False,False,spinach
C0296,4,92.4,0.017,True,False,chye_sim
C0297,3,18.28,0.097,False,False,chye_sim
C0298,4,13.39,0.172,False,False,spinach
C0299,14,48.48,0.887,False,False,arugula
C0300,1,12.71,0.178,False,False,spinach
C0301,3,18.61,0.241,False,False,lettuce
C0302,2,19.58,0.096,False,False,spinach
C0303,2,119.11,0.139,True,False,lettuce
C0304,2,161.81,0.04,True,False,lettuce
C0305,8,22.07,0.263,False,True,arugula
C0306,2,24.3,0.19,False,False,kai_lan
C0307,4,20.87,0.175,False,False,spinach
C0308,1,25.38,0.178,False,False,spinach
C0309,4,29.34,0.169,False,False,chye_sim
C0310,10,38.37,0.852,False,False,arugula
C0311,4,12.09,0.045,False,False,arugula
C0312,14,48.53,0.828,False,False,spinach
C0313,11,26.34,0.939,False,False,spinach
C0314,2,141.92,0.135,True,False,kai_lan
C0315,4,25.59,0.27,False,True,spinach
C0316,1,24.09,0.135,False,False,chye_sim
C0317,2,17.32,0.173,False,False,kai_lan
C0318,4,22.23,0.158,False,False,spinach
C0319,3,28.37,0.052,False,False,chye_sim
C0320,2,141.3,0.061,True,False,kai_lan
C0321,8,47.92,0.346,False,True,kai_lan
C0322,1,183.86,0.063,True,False,chye_sim
C0323,14,37.27,0.993,False,False,kai_lan
C0324,4,28.76,0.225,False,True,spinach
C0325,14,41.49,0.913,False,False,spinach
C0326,4,20.93,0.163,False,False,kai_lan
C0327,1,18.99,0.074,False,False,chye_sim
C0328,8,37.64,0.433,False,True,arugula
C0329,2,26.11,0.185,False,False,lettuce
C0330,3,21.45,0.097,False,False,lettuce
C0331,4,28.38,0.041,False,False,arugula
C0332,10,47.84,0.85,False,False,kai_lan
C0333,1,22.67,0.188,False,False,kai_lan
C0334,6,48.51,0.408,False,True,kai_lan
C0335,3,27.0,0.028,False,False,spinach
C0336,3,16.76,0.148,False,False,lettuce
C0337,3,22.99,0.468,False,True,spinach
C0338,13,31.07,0.888,False,False,spinach
C0339,1,23.09,0.262,False,False,spinach
C0340,2,18.58,0.016,False,False,kai_lan
C0341,14,25.28,0.827,False,False,arugula
C0342,2,17.66,0.208,False,False,kai_lan
C0343,2,156.99,0.027,True,False,kai_lan
C0344,2,22.56,0.195,False,False,spinach
C0345,1,21.79,0.026,False,False,arugula
C0346,2,146.41,0.05,True,False,chye_sim
C0347,3,14.11,0.008,False,False,kai_lan
C0348,4,34.85,0.216,False,True,spinach
C0349,3,28.68,0.267,False,False,arugula
C0350,4,29.09,0.164,False,False,kai_lan
C0351,13,40.2,0.843,False,False,kai_lan
