order_id,customer_id,date,crop_id,kg,sgd_total
O00001,C0001,2026-03-03,kai_lan,4.0,24.75
O00002,C0001,2026-01-28,arugula,4.66,32.57
O00003,C0002,2025-05-07,spinach,2.81,19.32
O00004,C0002,2025-11-08,chye_sim,1.69,12.45
O00005,C0002,2025-09-21,spinach,4.6,37.11
O00006,C0002,2026-03-19,spinach,4.76,36.37
O00007,C0002,2026-01-31,spinach,0.5,3.81
O00008,C0002,2025-11-09,spinach,4.75,34.14
O00009,C0002,2025-10-15,spinach,4.56,37.25
O00010,C0002,2025-07-03,spinach,1.34,10.9
O00011,C0002,2025-07-30,spinach,3.45,26.46
O00012,C0002,2025-05-19,arugula,4.97,46.12
O00013,C0002,2026-01-28,spinach,3.46,24.51
O00014,C0002,2025-08-01,lettuce,1.85,10.76
O00015,C0002,2026-03-23,spinach,1.64,11.09
O00016,C0002,2025-07-30,spinach,2.42,18.74
O00017,C0002,2025-09-25,spinach,1.02,7.79
O00018,C0002,2025-09-30,kai_lan,1.77,16.0
O00019,C0002,2026-03-16,spinach,4.25,29.22
O00020,C0002,2025-10-08,spinach,1.99,14.28
O00021,C0002,2026-01-29,spinach,3.33,22.62
O00022,C0002,2025-09-12,kai_lan,2.83,22.57
O00023,C0003,2025-05-31,arugula,4.29,31.89
O00024,C0003,2026-02-13,chye_sim,3.92,20.05
O00025,C0003,2025-05-10,chye_sim,2.85,17.58
O00026,C0003,2025-12-19,chye_sim,1.0,5.35
O00027,C0003,2026-02-17,spinach,2.48,14.44
O00028,C0003,2025-11-11,chye_sim,0.35,1.8
O00029,C0004,2026-01-01,spinach,3.86,20.45
O00030,C0004,2025-05-13,spinach,4.76,28.66
O00031,C0004,2025-05-06,lettuce,1.99,9.08
O00032,C0004,2025-10-28,spinach,1.54,8.38
O00033,C0004,2026-01-29,spinach,4.57,25.6
O00034,C0004,2025-10-19,arugula,0.49,3.64
O00035,C0004,2025-04-14,lettuce,4.2,22.23
O00036,C0005,2026-03-16,chye_sim,6.74,38.43
O00037,C0005,2026-01-20,chye_sim,13.98,69.11
O00038,C0006,2026-01-23,spinach,2.21,13.78
O00039,C0006,2026-01-15,spinach,2.57,15.25
O00040,C0007,2025-08-31,kai_lan,7.3,47.61
O00041,C0007,2025-11-11,kai_lan,6.87,43.17
O00042,C0007,2025-08-20,kai_lan,9.15,57.03
O00043,C0007,2025-08-18,kai_lan,9.79,59.21
O00044,C0007,2025-09-11,kai_lan,9.11,55.57
O00045,C0007,2025-08-25,kai_lan,6.61,44.31
O00046,C0008,2026-04-14,kai_lan,0.56,3.45
O00047,C0008,2026-02-27,kai_lan,2.21,15.95
O00048,C0009,2025-05-01,chye_sim,4.16,25.34
O00049,C0009,2025-08-10,chye_sim,4.97,29.72
O00050,C0009,2025-07-18,chye_sim,2.23,11.22
O00051,C0009,2026-02-14,kai_lan,3.4,20.85
O00052,C0010,2026-03-09,arugula,2.43,23.25
O00053,C0010,2025-07-18,arugula,0.92,7.62
O00054,C0010,2025-12-15,lettuce,2.27,13.26
O00055,C0010,2025-05-11,arugula,4.54,43.49
O00056,C0010,2025-12-20,arugula,0.85,7.94
O00057,C0010,2025-05-28,lettuce,0.31,2.15
O00058,C0010,2026-03-05,arugula,2.75,24.97
O00059,C0010,2025-04-14,arugula,2.32,23.96
O00060,C0010,2025-11-24,spinach,3.07,24.48
O00061,C0010,2026-04-16,lettuce,2.3,13.79
O00062,C0010,2025-07-20,kai_lan,3.11,26.57
O00063,C0010,2025-08-01,arugula,3.63,36.37
O00064,C0010,2026-01-12,arugula,2.74,24.9
O00065,C0010,2025-07-06,arugula,1.78,16.15
O00066,C0010,2025-06-10,arugula,3.05,26.92
O00067,C0010,2025-12-22,arugula,2.02,17.88
O00068,C0010,2026-03-06,arugula,1.26,11.92
O00069,C0011,2026-02-23,chye_sim,10.59,58.02
O00070,C0011,2025-11-25,chye_sim,12.74,68.37
O00071,C0011,2025-08-30,lettuce,12.48,60.36
O00072,C0011,2025-09-11,chye_sim,10.08,59.27
O00073,C0011,2026-03-29,chye_sim,11.85,58.15
O00074,C0011,2026-01-06,kai_lan,5.91,35.15
O00075,C0012,2025-12-30,kai_lan,1.54,9.68
O00076,C0012,2026-03-29,kai_lan,2.11,15.28
O00077,C0012,2026-04-01,kai_lan,1.65,11.89
O00078,C0012,2025-06-20,chye_sim,3.31,17.93
O00079,C0012,2025-09-02,arugula,2.74,18.25
O00080,C0012,2026-03-24,kai_lan,3.58,23.93
O00081,C0012,2025-06-09,kai_lan,3.38,24.47
O00082,C0012,2025-07-05,chye_sim,1.96,10.51
O00083,C0012,2026-03-18,kai_lan,0.37,2.54
O00084,C0012,2025-07-07,kai_lan,3.71,24.48
O00085,C0012,2026-03-16,kai_lan,4.83,29.7
O00086,C0013,2025-08-29,spinach,2.2,11.24
O00087,C0013,2025-08-19,spinach,0.8,4.17
O00088,C0013,2025-10-19,spinach,0.85,4.95
O00089,C0013,2025-09-30,chye_sim,3.0,17.28
O00090,C0013,2025-12-01,spinach,3.92,24.13
O00091,C0013,2026-01-11,spinach,4.51,28.45
O00092,C0013,2026-01-23,spinach,0.62,3.7
O00093,C0013,2025-09-11,spinach,1.38,7.65
O00094,C0013,2025-11-18,spinach,0.35,2.16
O00095,C0013,2025-09-26,spinach,2.17,13.37
O00096,C0013,2025-11-13,spinach,4.68,26.98
O00097,C0013,2025-11-19,spinach,3.0,16.06
O00098,C0013,2025-08-27,spinach,1.24,7.59
O00099,C0013,2025-10-04,spinach,1.25,6.83
O00100,C0014,2025-11-20,arugula,0.8,6.35
O00101,C0014,2026-01-29,arugula,3.89,28.3
O00102,C0014,2025-06-12,spinach,1.78,11.33
O00103,C0014,2026-03-12,lettuce,4.93,26.55
O00104,C0014,2025-10-12,arugula,3.83,25.09
O00105,C0014,2026-02-15,lettuce,2.84,13.93
O00106,C0014,2025-12-09,chye_sim,2.45,12.24
O00107,C0014,2026-02-11,arugula,3.54,22.5
O00108,C0014,2025-09-06,arugula,0.77,5.38
O00109,C0014,2025-10-01,arugula,1.54,10.44
O00110,C0014,2026-03-31,arugula,1.16,8.23
O00111,C0014,2025-12-22,spinach,4.32,23.71
O00112,C0015,2026-03-01,spinach,3.01,16.3
O00113,C0015,2025-12-30,chye_sim,2.91,17.37
O00114,C0016,2025-12-25,chye_sim,2.52,12.24
O00115,C0016,2026-03-05,lettuce,4.98,26.44
O00116,C0017,2026-03-21,chye_sim,1.71,9.55
O00117,C0017,2026-04-07,lettuce,0.77,3.45
O00118,C0017,2025-10-09,lettuce,3.26,15.78
O00119,C0018,2025-11-24,spinach,2.93,24.41
O00120,C0018,2025-11-23,spinach,2.24,16.25
O00121,C0018,2026-03-11,kai_lan,3.01,26.32
O00122,C0018,2025-11-02,spinach,1.83,13.82
O00123,C0018,2026-04-05,arugula,2.09,18.57
O00124,C0018,2026-02-27,arugula,3.31,34.18
O00125,C0018,2026-01-04,spinach,2.99,24.41
O00126,C0018,2025-10-07,spinach,1.92,13.79
O00127,C0018,2026-03-05,spinach,1.56,12.15
O00128,C0018,2025-11-27,chye_sim,4.71,35.7
O00129,C0018,2026-01-30,spinach,1.16,7.77
O00130,C0018,2026-03-24,spinach,1.48,11.83
O00131,C0018,2026-03-29,spinach,1.08,7.4
O00132,C0018,2025-10-05,lettuce,0.55,3.75
O00133,C0019,2025-08-02,kai_lan,3.21,24.38
O00134,C0019,2026-01-06,kai_lan,1.46,11.72
O00135,C0019,2025-08-24,kai_lan,4.24,31.78
O00136,C0019,2025-12-20,spinach,2.54,21.32
O00137,C0019,2026-03-24,lettuce,0.94,6.6
O00138,C0019,2026-03-24,kai_lan,3.11,27.09
O00139,C0019,2026-04-05,kai_lan,3.31,28.17
O00140,C0019,2025-12-15,kai_lan,1.37,10.42
O00141,C0019,2025-11-25,kai_lan,1.52,12.25
O00142,C0019,2025-06-21,kai_lan,3.86,29.8
O00143,C0019,2025-11-14,kai_lan,0.34,3.16
O00144,C0019,2026-02-20,kai_lan,3.9,35.31
O00145,C0019,2025-10-17,lettuce,1.19,8.25
O00146,C0019,2026-01-30,kai_lan,1.07,9.53
O00147,C0019,2026-01-06,spinach,0.67,5.22
O00148,C0019,2026-03-12,arugula,4.1,40.03
O00149,C0019,2025-11-13,kai_lan,2.8,22.35
O00150,C0019,2025-09-25,kai_lan,1.66,14.5
O00151,C0019,2026-02-07,kai_lan,3.23,25.22
O00152,C0019,2025-06-30,kai_lan,4.86,36.34
O00153,C0019,2025-08-12,kai_lan,0.89,7.39
O00154,C0019,2025-06-25,kai_lan,1.01,8.51
O00155,C0019,2025-12-13,kai_lan,3.99,33.73
O00156,C0020,2026-01-15,arugula,0.45,3.78
O00157,C0020,2026-03-30,kai_lan,3.95,29.91
O00158,C0020,2026-01-17,arugula,4.51,39.68
O00159,C0020,2025-12-25,kai_lan,3.91,31.05
O00160,C0020,2026-04-04,spinach,4.97,34.8
O00161,C0020,2026-03-26,lettuce,4.92,31.11
O00162,C0020,2026-03-12,arugula,1.05,10.32
O00163,C0020,2026-03-28,lettuce,1.49,9.81
O00164,C0020,2025-11-08,arugula,0.54,5.3
O00165,C0020,2025-10-17,arugula,2.34,19.36
O00166,C0020,2026-04-10,arugula,0.86,8.63
O00167,C0020,2025-09-21,lettuce,3.55,23.61
O00168,C0021,2026-02-03,spinach,2.65,16.05
O00169,C0021,2026-01-30,arugula,3.24,20.85
O00170,C0022,2025-07-09,chye_sim,0.89,4.59
O00171,C0022,2026-02-01,chye_sim,4.09,22.14
O00172,C0022,2025-07-29,lettuce,2.08,10.72
O00173,C0022,2025-08-28,lettuce,2.36,10.98
O00174,C0022,2026-04-13,lettuce,2.96,14.67
O00175,C0022,2025-10-04,spinach,4.21,26.83
O00176,C0023,2025-09-11,spinach,1.03,7.38
O00177,C0023,2025-11-02,spinach,2.43,19.57
O00178,C0023,2026-03-07,spinach,1.17,7.82
O00179,C0023,2025-12-24,spinach,3.69,28.87
O00180,C0023,2026-03-23,kai_lan,3.51,31.56
O00181,C0023,2025-09-07,spinach,1.82,14.16
O00182,C0023,2025-08-16,spinach,3.4,22.81
O00183,C0023,2025-08-26,spinach,0.45,3.05
O00184,C0023,2025-09-27,spinach,2.98,24.31
O00185,C0023,2026-02-26,spinach,3.6,25.53
O00186,C0023,2025-12-25,spinach,3.67,24.46
O00187,C0024,2026-03-23,chye_sim,2.5,14.21
O00188,C0024,2026-02-18,spinach,4.71,26.77
O00189,C0024,2026-02-20,kai_lan,3.2,20.94
O00190,C0025,2025-04-28,kai_lan,1.31,11.16
O00191,C0025,2025-05-13,lettuce,1.19,7.63
O00192,C0025,2025-07-28,kai_lan,4.75,40.73
O00193,C0025,2026-01-02,kai_lan,0.8,6.95
O00194,C0025,2025-09-22,kai_lan,3.6,29.9
O00195,C0025,2025-05-15,kai_lan,1.15,9.47
O00196,C0025,2025-09-11,kai_lan,2.81,24.31
O00197,C0025,2025-09-19,lettuce,4.99,34.38
O00198,C0025,2025-10-20,spinach,3.71,28.71
O00199,C0025,2026-01-05,kai_lan,2.06,17.64
O00200,C0025,2026-04-08,kai_lan,4.82,40.21
O00201,C0025,2025-10-12,kai_lan,0.46,3.71
O00202,C0025,2025-03-31,kai_lan,4.97,39.99
O00203,C0025,2025-08-23,kai_lan,1.78,16.02
O00204,C0025,2026-03-11,arugula,2.7,25.73
O00205,C0025,2026-01-09,kai_lan,0.48,3.89
O00206,C0025,2025-06-01,kai_lan,4.48,35.59
O00207,C0025,2025-08-01,kai_lan,2.18,20.26
O00208,C0025,2026-04-02,kai_lan,1.83,15.37
O00209,C0025,2025-11-27,chye_sim,3.01,23.61
O00210,C0025,2026-01-21,kai_lan,0.48,4.32
O00211,C0025,2025-10-04,kai_lan,0.56,5.07
O00212,C0025,2025-09-17,spinach,4.67,32.02
O00213,C0025,2025-07-17,chye_sim,4.66,34.42
O00214,C0025,2026-02-09,kai_lan,1.73,13.03
O00215,C0025,2025-12-24,kai_lan,1.84,16.25
O00216,C0025,2025-06-09,kai_lan,3.74,30.78
O00217,C0025,2025-11-06,lettuce,0.72,4.53
O00218,C0025,2025-10-10,kai_lan,1.88,15.79
O00219,C0025,2026-04-08,kai_lan,2.18,16.56
O00220,C0026,2026-01-29,kai_lan,0.93,6.16
O00221,C0026,2026-02-25,spinach,2.99,17.57
O00222,C0027,2025-12-16,spinach,0.64,3.94
O00223,C0027,2025-09-04,spinach,3.01,15.82
O00224,C0027,2025-10-20,spinach,1.94,10.75
O00225,C0027,2026-01-21,spinach,3.92,20.92
O00226,C0027,2025-09-18,spinach,4.95,28.33
O00227,C0027,2025-06-05,spinach,4.64,25.21
O00228,C0028,2025-10-30,spinach,3.72,25.29
O00229,C0028,2025-05-19,spinach,3.22,22.22
O00230,C0028,2025-09-16,spinach,3.56,24.34
O00231,C0028,2025-12-08,spinach,1.86,14.83
O00232,C0028,2025-08-08,spinach,2.76,19.6
O00233,C0028,2025-12-25,spinach,4.96,39.18
O00234,C0028,2026-03-30,spinach,3.04,23.82
O00235,C0028,2025-05-14,spinach,0.58,4.08
O00236,C0028,2026-04-13,spinach,0.55,4.3
O00237,C0028,2025-04-26,spinach,3.4,26.67
O00238,C0028,2026-03-25,spinach,0.81,5.78
O00239,C0028,2026-03-20,spinach,4.91,37.06
O00240,C0028,2025-06-11,lettuce,3.11,17.83
O00241,C0028,2025-08-01,spinach,2.45,20.38
O00242,C0028,2025-05-03,spinach,4.63,33.31
O00243,C0028,2025-12-28,spinach,1.04,7.54
O00244,C0028,2025-10-19,spinach,1.72,14.52
O00245,C0028,2026-01-03,spinach,0.59,4.2
O00246,C0028,2025-11-06,chye_sim,0.44,3.18
O00247,C0028,2025-09-12,spinach,1.91,14.0
O00248,C0029,2025-12-29,lettuce,3.49,18.61
O00249,C0029,2026-03-15,spinach,1.43,7.6
O00250,C0029,2026-01-26,spinach,2.85,15.36
O00251,C0029,2026-01-04,spinach,3.52,18.93
O00252,C0030,2026-01-26,kai_lan,4.52,32.29
O00253,C0030,2026-02-11,arugula,0.98,7.81
O00254,C0030,2026-04-14,kai_lan,0.62,4.05
O00255,C0030,2026-03-20,kai_lan,1.79,12.71
O00256,C0030,2026-03-21,kai_lan,1.8,13.01
O00257,C0031,2025-11-05,arugula,4.69,48.04
O00258,C0031,2026-04-15,kai_lan,1.18,9.11
O00259,C0031,2025-08-26,lettuce,1.55,10.06
O00260,C0031,2025-10-18,arugula,1.39,11.49
O00261,C0031,2025-09-09,arugula,2.54,23.79
O00262,C0031,2026-01-21,arugula,3.35,29.0
O00263,C0031,2025-11-27,arugula,0.95,8.21
O00264,C0031,2025-08-28,arugula,4.85,50.07
O00265,C0031,2025-12-03,arugula,3.46,30.03
O00266,C0032,2025-12-04,arugula,4.79,33.96
O00267,C0032,2026-03-23,arugula,4.37,34.42
O00268,C0032,2026-03-07,arugula,0.5,3.78
O00269,C0033,2026-02-20,spinach,3.17,19.48
O00270,C0033,2026-01-19,spinach,3.31,20.17
O00271,C0033,2025-08-29,spinach,2.42,15.15
O00272,C0033,2025-08-30,spinach,2.83,18.31
O00273,C0033,2025-08-30,spinach,2.73,16.31
