date,crop_id,kg_shipped,price_sgd_per_kg
2025-10-01,kai_lan,51.3,3.77
2025-10-01,baby_spinach,37.1,6.85
2025-10-01,lettuce_mambo,47.0,3.28
2025-10-01,chye_sim,37.7,3.84
2025-10-01,arugula,12.7,7.32
2025-10-01,pak_choi,68.2,3.77
2025-10-01,kale,19.1,10.51
2025-10-01,basil_thai,11.4,13.8
2025-10-01,coriander,15.6,10.95
2025-10-01,mint,10.3,13.94
2025-10-02,kai_lan,43.5,4.02
2025-10-02,baby_spinach,39.9,5.86
2025-10-02,lettuce_mambo,53.8,3.66
2025-10-02,chye_sim,40.0,4.18
2025-10-02,arugula,13.2,8.34
2025-10-02,pak_choi,74.2,3.36
2025-10-02,kale,16.9,8.77
2025-10-02,basil_thai,11.4,16.58
2025-10-02,coriander,14.0,11.08
2025-10-02,mint,7.4,14.78
2025-10-03,kai_lan,54.1,4.88
2025-10-03,baby_spinach,24.4,6.21
2025-10-03,lettuce_mambo,54.5,3.89
2025-10-03,chye_sim,41.2,4.11
2025-10-03,arugula,13.2,8.05
2025-10-03,pak_choi,60.4,3.72
2025-10-03,kale,13.2,9.21
2025-10-03,basil_thai,8.8,14.11
2025-10-03,coriander,13.0,13.64
2025-10-03,mint,6.9,15.16
2025-10-04,kai_lan,13.7,4.27
2025-10-04,baby_spinach,27.0,6.53
2025-10-04,lettuce_mambo,53.6,4.12
2025-10-04,chye_sim,22.2,3.77
2025-10-04,arugula,12.3,7.85
2025-10-04,pak_choi,45.4,3.1
2025-10-04,kale,15.1,9.95
2025-10-04,basil_thai,10.9,15.97
2025-10-04,coriander,12.9,12.17
2025-10-04,mint,9.7,13.63
2025-10-05,kai_lan,42.9,4.04
2025-10-05,baby_spinach,23.3,5.66
2025-10-05,lettuce_mambo,43.6,3.99
2025-10-05,chye_sim,21.5,4.01
2025-10-05,arugula,11.7,8.36
2025-10-05,pak_choi,57.6,3.47
2025-10-05,kale,16.7,9.43
2025-10-05,basil_thai,7.4,12.97
2025-10-05,coriander,10.8,10.9
2025-10-05,mint,9.5,12.91
2025-10-06,kai_lan,39.9,5.41
2025-10-06,baby_spinach,27.4,6.66
2025-10-06,lettuce_mambo,49.9,3.72
2025-10-06,chye_sim,27.4,3.83
2025-10-06,arugula,13.8,6.62
2025-10-06,pak_choi,62.6,3.58
2025-10-06,kale,16.2,8.2
2025-10-06,basil_thai,10.1,14.26
2025-10-06,coriander,14.6,12.02
2025-10-06,mint,11.1,13.71
2025-10-07,kai_lan,32.9,4.63
2025-10-07,baby_spinach,32.9,7.22
2025-10-07,lettuce_mambo,61.7,3.94
2025-10-07,chye_sim,48.1,3.41
2025-10-07,arugula,11.3,7.26
2025-10-07,pak_choi,60.0,3.02
2025-10-07,kale,20.6,9.3
2025-10-07,basil_thai,7.4,13.58
2025-10-07,coriander,15.3,12.92
2025-10-07,mint,12.0,17.5
2025-10-08,kai_lan,52.8,3.81
2025-10-08,baby_spinach,15.6,6.24
2025-10-08,lettuce_mambo,53.2,3.63
2025-10-08,chye_sim,31.8,3.93
2025-10-08,arugula,14.9,8.13
2025-10-08,pak_choi,62.0,3.14
2025-10-08,kale,13.9,9.06
2025-10-08,basil_thai,10.4,17.48
2025-10-08,coriander,15.0,13.08
2025-10-08,mint,8.5,12.58
2025-10-09,kai_lan,32.9,3.99
2025-10-09,baby_spinach,46.8,5.26
2025-10-09,lettuce_mambo,60.8,3.44
2025-10-09,chye_sim,43.2,4.19
2025-10-09,arugula,12.2,7.97
2025-10-09,pak_choi,57.4,3.66
2025-10-09,kale,17.0,8.4
2025-10-09,basil_thai,7.7,15.24
2025-10-09,coriander,18.3,12.18
2025-10-09,mint,8.8,14.34
2025-10-10,kai_lan,61.7,4.65
2025-10-10,baby_spinach,26.4,7.0
2025-10-10,lettuce_mambo,56.2,4.41
2025-10-10,chye_sim,35.7,3.39
2025-10-10,arugula,9.2,9.32
2025-10-10,pak_choi,69.0,3.44
2025-10-10,kale,16.5,10.82
2025-10-10,basil_thai,7.6,13.75
2025-10-10,coriander,15.3,11.57
2025-10-10,mint,8.6,13.8
2025-10-11,kai_lan,40.9,5.49
2025-10-11,baby_spinach,26.5,6.58
2025-10-11,lettuce_mambo,38.4,3.78
2025-10-11,chye_sim,18.2,3.39
2025-10-11,arugula,8.9,7.73
2025-10-11,pak_choi,58.6,3.04
2025-10-11,kale,17.9,9.06
2025-10-11,basil_thai,10.0,16.4
2025-10-11,coriander,15.3,13.47
2025-10-11,mint,8.8,13.16
2025-10-12,kai_lan,33.7,4.67
2025-10-12,baby_spinach,27.4,5.02
2025-10-12,lettuce_mambo,50.7,3.89
2025-10-12,chye_sim,45.4,4.94
2025-10-12,arugula,9.1,7.77
2025-10-12,pak_choi,44.8,3.29
2025-10-12,kale,19.0,10.59
2025-10-12,basil_thai,9.3,14.08
2025-10-12,coriander,8.8,11.82
2025-10-12,mint,7.5,13.36
2025-10-13,kai_lan,33.2,4.43
2025-10-13,baby_spinach,17.0,4.68
2025-10-13,lettuce_mambo,66.7,3.29
2025-10-13,chye_sim,26.2,4.92
2025-10-13,arugula,18.0,7.06
2025-10-13,pak_choi,57.8,3.62
2025-10-13,kale,23.2,8.61
2025-10-13,basil_thai,9.5,16.09
2025-10-13,coriander,15.1,11.59
2025-10-13,mint,8.6,12.35
2025-10-14,kai_lan,43.5,4.31
2025-10-14,baby_spinach,33.1,5.5
2025-10-14,lettuce_mambo,59.8,4.21
2025-10-14,chye_sim,37.6,4.18
2025-10-14,arugula,12.8,8.0
2025-10-14,pak_choi,58.0,3.61
2025-10-14,kale,18.4,11.38
2025-10-14,basil_thai,13.5,15.54
2025-10-14,coriander,12.6,10.78
2025-10-14,mint,11.1,14.32
2025-10-15,kai_lan,53.7,3.28
2025-10-15,baby_spinach,38.8,6.41
2025-10-15,lettuce_mambo,51.6,3.61
2025-10-15,chye_sim,38.8,4.03
2025-10-15,arugula,12.4,7.92
2025-10-15,pak_choi,61.4,3.55
2025-10-15,kale,23.4,7.19
2025-10-15,basil_thai,10.0,15.25
2025-10-15,coriander,15.4,11.59
2025-10-15,mint,6.9,14.39
2025-10-16,kai_lan,69.3,3.43
2025-10-16,baby_spinach,37.5,5.7
2025-10-16,lettuce_mambo,55.9,3.38
2025-10-16,chye_sim,33.1,4.65
2025-10-16,arugula,13.8,9.39
2025-10-16,pak_choi,68.4,3.65
2025-10-16,kale,23.7,9.9
2025-10-16,basil_thai,11.9,14.58
2025-10-16,coriander,14.5,11.23
2025-10-16,mint,11.0,12.59
2025-10-17,kai_lan,54.6,4.37
2025-10-17,baby_spinach,38.5,6.68
2025-10-17,lettuce_mambo,63.9,4.09
2025-10-17,chye_sim,21.7,3.97
2025-10-17,arugula,9.8,7.59
2025-10-17,pak_choi,67.8,3.72
2025-10-17,kale,15.6,8.59
2025-10-17,basil_thai,9.8,13.3
2025-10-17,coriander,12.0,12.34
2025-10-17,mint,10.9,14.73
2025-10-18,kai_lan,5.5,4.71
2025-10-18,baby_spinach,26.5,6.37
2025-10-18,lettuce_mambo,58.6,2.97
2025-10-18,chye_sim,20.2,4.3
2025-10-18,arugula,7.7,9.18
2025-10-18,pak_choi,55.3,3.8
2025-10-18,kale,16.2,10.23
2025-10-18,basil_thai,12.8,15.33
2025-10-18,coriander,14.6,12.3
2025-10-18,mint,8.1,13.82
2025-10-19,kai_lan,34.7,4.77
2025-10-19,baby_spinach,33.7,5.05
2025-10-19,lettuce_mambo,49.6,4.39
2025-10-19,chye_sim,19.3,3.59
2025-10-19,arugula,11.3,8.68
2025-10-19,pak_choi,53.7,3.97
2025-10-19,kale,20.6,10.26
2025-10-19,basil_thai,11.9,18.26
2025-10-19,coriander,13.6,9.8
2025-10-19,mint,12.1,13.45
2025-10-20,kai_lan,46.5,5.42
2025-10-20,baby_spinach,18.3,4.87
2025-10-20,lettuce_mambo,46.2,3.48
2025-10-20,chye_sim,38.5,4.26
2025-10-20,arugula,12.9,6.87
2025-10-20,pak_choi,46.1,3.52
2025-10-20,kale,16.6,9.91
2025-10-20,basil_thai,11.4,15.19
2025-10-20,coriander,15.9,12.25
2025-10-20,mint,10.1,13.15
2025-10-21,kai_lan,44.3,4.64
2025-10-21,baby_spinach,37.7,5.65
2025-10-21,lettuce_mambo,60.1,3.69
2025-10-21,chye_sim,35.4,4.41
2025-10-21,arugula,8.9,6.96
2025-10-21,pak_choi,53.5,2.68
2025-10-21,kale,16.7,10.17
2025-10-21,basil_thai,9.8,15.28
2025-10-21,coriander,17.3,13.46
2025-10-21,mint,9.5,15.62
2025-10-22,kai_lan,48.4,3.91
2025-10-22,baby_spinach,27.7,4.67
2025-10-22,lettuce_mambo,52.9,3.66
2025-10-22,chye_sim,43.1,4.86
2025-10-22,arugula,10.5,8.31
2025-10-22,pak_choi,56.7,3.67
2025-10-22,kale,18.6,7.85
2025-10-22,basil_thai,12.3,14.15
2025-10-22,coriander,13.4,10.82
2025-10-22,mint,9.0,14.51
2025-10-23,kai_lan,43.4,4.73
2025-10-23,baby_spinach,34.1,7.19
2025-10-23,lettuce_mambo,54.4,3.21
2025-10-23,chye_sim,44.3,3.83
